id,recipient,jurisdiction,state,ein,type,amount,fips_code,fips
1,"BULLOCK COUNTY JUDGE OF PROBATE
P. O BOX 71
UNION SPRINGS, AL 36089",Bullock,AL,63-6001427,COUNTY GOVERNMENT,14341,NA,01011 
2,"DALLAS COUNTY COMMISSION
P.O. BOX 987
SELMA, AL 36702",Dallas,AL,63-0710358,COUNTY GOVERNMENT,45923,NA,01047 
3,"HALE COUNTY COMMISSION
P.O. BOX 396
GREENSBORO, AL 36744",Hale,AL,63-6001560,COUNTY GOVERNMENT,16191,NA,01065 
4,"STATE OF ALABAMA JEFFERSON COUNTY
SAFE VOTING FUND - 716 RICHARD
ARRINGTON JR. BLVD. NORTH, ROOM
500 - BIRMINGHAM, AL 35203",Jefferson,AL,63-6000619,COUNTY GOVERNMENT,491015,NA,01073 
5,"MACON COUNTY COMMISSION
101 ROSA PARKS AVE., SUITE 106
TUSKEGEE, AL 36083",Macon,AL,63-6001615,COUNTY GOVERNMENT,26458,NA,01087 
6,"MONTGOMERY CIRCUIT CLERK/ABSENTEE
ELECTION MANAGER - 251 S. LAWRENCE
ST. - MONTGOMERY, AL 36104",Montgomery,AL,63-6000619,COUNTY GOVERNMENT,504750,NA,01101 
7,"MONTGOMERY COUNTY COMMISSION
101 S. LAWRENCE ST.         
MONTGOMERY, AL 36104",Montgomery,AL,63-6001653,COUNTY GOVERNMENT,770740,NA,01101 
8,"WILCOX COUNTY
P.O. BOX 668
CAMDEN, AL 36726",Wilcox,AL,NA,COUNTY GOVERNMENT,9585,NA,01131 
9,"DENALI BOROUGH
P.O. BOX 480
HEALY, AK 99743",Denali Borough,AK,92-0135377,COUNTY GOVERNMENT,25000,NA,NA
10,"HAINES BOROUGH
P.O. BOX 1209
HAINES, AK 99827",Haines Borough,AK,47-0888706,COUNTY GOVERNMENT,25000,NA,NA
11,"APACHE COUNTY
P.O. BOX 425
SAINT JOHNS, AZ 85936",Apache,AZ,86-6000385,COUNTY GOVERNMENT,589700,NA,04001 
12,"COCONINO COUNTY ELECTIONS
5600 E COMMERCE
FLAGSTAFF, AZ 86001",Coconino,AZ,86-6000441,COUNTY GOVERNMENT,524585,NA,04005 
13,"LA PAZ COUNTY ELECTIONS DEPARTMENT
1108 S. JOSHUA AVE.
PARKER, AZ 85344",La Paz,AZ,86-0445604,COUNTY GOVERNMENT,17532,NA,04012 
14,"MARICOPA COUNTY ELECTIONS
111 S. THIRD AVE.
PHOENIX, AZ 85003",Maricopa,AZ,86-6000472,COUNTY GOVERNMENT,1840345,NA,04013 
15,"NAVAJO COUNTY							
P.O. BOX 668							
HOLBROOK, AZ 86025",Navajo,AZ,86-6000541,COUNTY GOVERNMENT,593789,NA,04017 
